"","GAWeeks","Num_Observations","Percentile_2.5","Percentile_3","Percentile_5","Percentile_10","Percentile_25","Percentile_50","Percentile_75","Percentile_90","Percentile_95","Percentile_97","Percentile_97.5"
"1",14,17,1.288,1.3056,1.376,1.834,2.28,2.55,3.15,3.55,3.678,3.8828,3.934
"2",15,11,2.388,2.3956,2.426,2.502,2.73,3.29,3.62,3.726,3.938,4.0228,4.044
"3",16,26,2.75,2.76,2.8,2.84,3.14,3.38,3.69,4.06,4.34,4.432,4.455
"4",17,14,2.284,2.2928,2.328,2.461,3.415,4.09,4.9,5.734,36.834,51.9964,55.787
"5",18,21,2.805,2.824,2.9,2.98,3.74,4.29,4.88,5.53,5.92,6.176,6.24
"6",19,123,2.88,2.982,3.13,3.79,4.25,4.81,5.41,6.07,6.2,6.358,6.37
"7",20,149,3.42375,3.4482,3.6105,4.063,4.595,5.245,5.74,6.243,6.683,6.9549,7.10725
"8",21,54,2.46375,2.5565,2.7715,3.593,4.4925,5.45,5.83,6.497,6.6385,6.7428,6.764
"9",22,18,3.566,3.5972,3.722,4.526,5.5,6.07,6.51,6.684,6.712,6.7472,6.756
"10",23,15,4.541,4.5692,4.682,4.886,5.55,5.75,7.13,7.372,7.564,7.6624,7.687
"11",24,15,4.2965,4.3498,4.563,4.937,5.2225,5.985,6.7025,7.695,7.946,7.9876,7.998
"12",25,4,6.30325,6.3079,6.3265,6.373,6.5125,7,7.8475,8.635,8.8975,9.0025,9.02875
"13",26,11,2.9125,3.069,3.695,5.26,6.28,6.79,7.735,8.77,8.945,9.015,9.0325
"14",27,14,4.18175,4.2461,4.5035,4.85,5.615,7.545,8.63,9.625,9.809,9.8454,9.8545
"15",28,2,4.01125,4.0135,4.0225,4.045,4.1125,4.225,4.3375,4.405,4.4275,4.4365,4.43875
"16",NA,1,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38
